FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Enes Kanter,Por,C,29.17,5,11.2,23.4,9.5,25.3,2,1,8,0.5,0,0,0.5,0.563,2,2.6,13.4,0,0,0,0.4,0.6,0,108.7,104.4
Alex Len,Was,C,28.1,5,8.4,17.6,17.9,5.5,7,0.571,14,0.571,0,0,0.571,0.585,4,2.2,14.2,0.4,7.2,0.2,0,0.2,7.2,124.2,96.8
Robin Lopez,Was,C,33.3,5,14.6,30.5,15.9,3.6,4,0.25,25,0.72,0,0,0.72,0.691,7.4,1.8,6.7,0,0,0,0.8,0.2,0,131.8,110.3
De'Anthony Melton,Mem,G,23.15,5,16.7,34.8,18.3,8.3,5,0.6,11,0.455,20,0.3,0.452,0.467,6.2,3.2,10.6,1,7.6,0.2,0.8,0.6,6.5,99.7,108.1
Ja Morant,Mem,G,21.95,5,40.5,84.4,30.8,11.5,40,0.775,82,0.549,31,0.323,0.531,0.578,30.2,4.8,6.6,8.2,31.2,0.4,0,3.4,10.5,116.5,114.3
Aaron Nesmith,Bos,G-F,21.76,5,15,31.2,11.8,9.6,2,1,4,0.25,14,0.286,0.389,0.424,3.2,2.6,10,0.2,1.8,0.2,0.2,0.4,3.2,89.9,108.2
Raul Neto,Was,G,29.17,5,22.5,46.8,13.8,2.7,5,0.8,19,0.421,15,0.267,0.412,0.442,6.4,2.2,5.3,1,6,0.4,0,0.2,4.3,100,109.1
Zeke Nnaji,Den,F-C,20.53,5,3.5,7.4,21.8,0,2,0.5,1,1,7,0.429,0.688,0.676,2.4,0.4,6.4,0.4,17.8,0.2,0,0,8.3,,
Nerlens Noel,Nyk,C-F,27.28,5,18.4,38.4,10.1,19,16,0.813,10,0.5,0,0,0.5,0.675,4.6,4,11.5,0.2,1.6,0.8,0.6,0.8,3.4,132.5,93.9
Reggie Perry,Bro,F-C,21.33,5,4.4,9.3,32.7,18.8,0,0,8,0.625,5,0.4,0.615,0.615,3.2,1.2,14.9,0.2,8.6,0.2,0,0.6,8.3,106.4,97.5
Payton Pritchard,Bos,G,23.48,5,13.5,28.1,13.1,14.4,2,1,7,0.429,10,0.3,0.441,0.475,3.4,2,8.6,2.4,25,0.4,0,0.6,7.5,114.6,112.3
Immanuel Quickley,Nyk,G,22.09,5,15.4,32.2,24.2,14.3,7,0.714,22,0.273,11,0.364,0.364,0.402,5.8,1.4,4.8,1,11,0.6,0,1.2,5.2,78.1,101.6
Julius Randle,Nyk,F-C,26.64,5,36.1,75.1,31.7,17.8,27,0.852,61,0.279,33,0.333,0.356,0.425,18,11.6,17,4,19.8,0.6,0,4.6,10.4,85.3,98.5
Derrick Rose,Nyk,G,32.79,5,35,72.9,24.3,8.3,9,1,67,0.478,17,0.471,0.524,0.551,19.4,4,6.1,5,29.3,0.4,0.2,1.6,8.3,114.9,112.1
Mike Scott,Phi,F,33.01,5,6.9,14.3,11.3,0,0,0,2,0,7,0.286,0.333,0.333,1.2,0.6,4.8,0.6,10.5,0.2,0.2,0,4.4,94.8,105.1
Marcus Smart,Bos,G,27.38,5,36.6,76.3,20.6,15.7,21,0.714,23,0.565,43,0.372,0.561,0.591,17.8,4.4,6.9,6,25.5,1,0.2,2.8,8.5,116.8,110.6
Ish Smith,Was,G,33.04,5,22.3,46.4,18,10.4,0,0,36,0.389,7,0.286,0.395,0.395,6.8,3.2,7.8,2.8,17.9,1.4,0.4,1,7.1,86.5,104.7
Jayson Tatum,Bos,F-G,23.38,5,37,77,33.3,8.9,49,0.918,75,0.44,36,0.389,0.486,0.577,30.6,5.8,9.1,4.6,22.8,1.2,1.6,2.6,10.1,118,108.5
Tristan Thompson,Bos,C-F,30.36,5,26.4,55.1,14.9,10.8,17,0.706,34,0.588,0,0,0.588,0.627,10.4,9.8,21.4,1,5.8,0.8,1.2,1,7.1,138.2,107.2
Obi Toppin,Nyk,F,23.38,5,13.1,27.2,19.5,10.5,6,0.833,14,0.643,9,0.333,0.587,0.624,6.4,2.6,10.5,0.4,5.7,0,0.2,0.6,5.7,119.8,104.1
Jonas Valanciunas,Mem,C,29.21,5,33.1,69,18.2,14,8,0.875,50,0.62,8,0.25,0.586,0.61,15,9.8,16.4,2.6,10.9,0.6,0.6,2,8.8,120.2,104.2
Russell Westbrook,Was,G,32.69,5,37.2,77.6,27.8,16.9,43,0.791,64,0.359,20,0.25,0.363,0.462,19,10.4,15.2,11.8,45.6,0.4,0.2,4.2,14.3,104.4,106.8
Grant Williams,Bos,F,22.64,5,11.4,23.7,11.4,6.5,3,1,8,0.5,5,0.4,0.538,0.594,3.4,2,10.2,0.8,10.1,0.2,0.8,0.2,6.2,132.3,105.1
Justin Jackson,Mil,F,26.32,5,3,6.2,17.4,16.7,0,0,3,1,2,0,0.6,0.6,1.2,0.4,7.2,0.2,10.1,0.2,0,0.2,6.1,,
Kris Dunn,Atl,G,27.34,5,6.6,13.7,14.5,37.2,4,1,4,0.25,1,0,0.2,0.444,1.2,1,8.3,1,19.5,0.4,0.4,0.8,6.4,79.3,97
Jordan Nwora,Mil,F,22.86,5,6.2,12.9,30.5,4.5,7,0.714,10,0.2,8,0.25,0.278,0.356,3,1.8,15.6,0.2,4.4,0,0.2,0.2,6.6,90.9,112.8
Abdel Nader,Pho,F,27.82,5,5.8,12,9.5,0,0,0,4,0.5,2,0,0.333,0.333,0.8,1,9.6,0,0,0,0,0,0,69.8,104.3
Bam Adebayo,Mia,C-F,24.01,4,34,70.7,23.8,14.9,13,0.769,57,0.456,0,0,0.456,0.494,15.5,9.3,13.3,4.3,23.9,1.25,0.5,2.75,10,103.4,104.6
Trevor Ariza,Mia,F,36.06,4,24,50,11.9,11.5,0,0,6,0.333,17,0.294,0.413,0.413,4.8,5.8,11.7,0.5,3.2,0.75,0.25,0.75,4,81,99.7
Davis Bertans,Was,F,28.69,4,26.5,55.2,12.3,3.2,7,1,4,0.75,23,0.348,0.556,0.615,9.3,2.8,5.7,0.3,1.3,0.25,0.5,0.25,3,122.9,107.1
Isaac Bonga,Was,G,21.7,4,2.4,4.9,22,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0.25,0,0,,
Jimmy Butler,Mia,F,31.85,4,38.6,80.3,23.5,10.9,22,0.727,49,0.306,15,0.267,0.328,0.394,14.5,7.5,9.5,7,30.6,1.25,0.25,2.25,9.5,93.3,110.2
Dewayne Dedmon,Mia,C,31.94,4,14.3,29.8,20.1,22.9,5,0.8,15,0.6,3,0.333,0.583,0.619,6.3,4.5,15.3,0.8,9.7,0,0.5,1.5,7.9,109.8,96.1
Goran Dragic,Mia,G,35.21,4,29.2,60.8,24.6,9.2,12,0.75,28,0.5,26,0.346,0.509,0.54,16,1.8,2.9,2.8,18.2,1,0.5,1.5,5.9,104.6,106.8
Trent Forrest,Uta,G,23.11,4,2.4,4.9,18.7,0,0,0,4,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
Anthony Gill,Was,F,28.76,4,8.2,17.1,7.6,50,0,0,2,0,1,0,0,0,0,1,6.6,0,0,0,0,0.75,0,13.6,97.7
Montrezl Harrell,Lal,F-C,27.48,4,9.8,20.5,22.7,10,9,0.778,14,0.571,0,0,0.571,0.64,5.8,2.5,14.4,0,0,0.5,0,0.5,0,126,101.6
